iter	Passed	Remaining
0	149	44674
1	152	22734
2	154	15343
3	157	11661
4	160	9485
5	163	8013
6	166	6967
7	168	6159
8	171	5540
9	173	5026
10	175	4605
11	177	4249
12	179	3951
13	180	3693
14	182	3474
15	185	3284
16	186	3108
17	188	2957
18	190	2823
19	192	2693
20	194	2578
21	195	2475
22	197	2376
23	198	2282
24	199	2196
25	200	2116
26	202	2045
27	203	1976
28	204	1912
29	205	1852
30	207	1797
31	208	1747
32	209	1697
33	211	1652
34	212	1608
35	213	1565
36	215	1529
37	216	1491
38	217	1457
39	218	1421
40	219	1388
41	220	1356
42	221	1326
43	223	1298
44	224	1270
45	225	1243
46	226	1217
47	227	1194
48	228	1171
49	229	1149
50	230	1127
51	232	1106
52	233	1086
53	234	1068
54	235	1049
55	236	1031
56	237	1013
57	238	996
58	239	979
59	241	964
60	242	948
61	243	933
62	244	918
63	245	903
64	246	890
65	247	877
66	248	864
67	249	851
68	250	838
69	251	826
70	252	814
71	253	802
72	254	791
73	255	780
74	256	769
75	257	759
76	258	748
77	259	739
78	260	730
79	261	720
80	262	710
81	263	701
82	264	692
83	265	683
84	266	675
85	268	666
86	268	658
87	269	650
88	270	642
89	271	634
90	272	626
91	273	619
92	274	611
93	275	604
94	276	597
95	277	589
96	278	583
97	279	576
98	280	570
99	281	563
100	282	557
101	283	550
102	284	544
103	286	539
104	287	533
105	287	527
106	288	521
107	289	515
108	290	509
109	292	504
110	293	499
111	294	493
112	294	488
113	295	482
114	296	477
115	297	472
116	298	467
117	300	462
118	300	457
119	301	452
120	302	447
121	303	443
122	304	438
123	305	434
124	306	429
125	307	425
126	308	420
127	309	416
128	310	411
129	311	407
130	312	403
131	313	399
132	314	395
133	315	391
134	316	386
135	317	383
136	318	379
137	319	375
138	320	371
139	321	367
140	322	364
141	323	360
142	325	356
143	326	353
144	326	349
145	328	346
146	328	342
147	330	339
148	331	335
149	332	332
150	333	328
151	334	325
152	335	322
153	336	319
154	337	315
155	338	312
156	339	309
157	340	306
158	341	302
159	342	299
160	343	296
161	344	293
162	345	290
163	346	287
164	347	284
165	348	281
166	349	278
167	350	275
168	352	272
169	352	269
170	353	266
171	354	264
172	355	261
173	357	258
174	358	255
175	359	252
176	359	250
177	360	247
178	361	244
179	362	241
180	363	239
181	365	236
182	365	233
183	366	231
184	367	228
185	368	226
186	369	223
187	370	220
188	371	218
189	372	215
190	373	213
191	374	210
192	375	208
193	376	205
194	377	203
195	378	200
196	379	198
197	380	196
198	381	193
199	382	191
200	383	189
201	384	186
202	385	184
203	386	181
204	387	179
205	388	177
206	389	175
207	390	172
208	391	170
209	392	168
210	393	165
211	394	163
212	395	161
213	396	159
214	397	157
215	398	154
216	399	152
217	400	150
218	401	148
219	402	146
220	403	144
221	404	142
222	405	140
223	406	137
224	407	135
225	408	133
226	409	131
227	410	129
228	411	127
229	412	125
230	413	123
231	414	121
232	415	119
233	416	117
234	417	115
235	418	113
236	419	111
237	420	109
238	421	107
239	422	105
240	423	103
241	424	101
242	425	99
243	426	97
244	427	96
245	428	94
246	429	92
247	431	90
248	431	88
249	432	86
250	434	84
251	435	82
252	436	81
253	437	79
254	438	77
255	439	75
256	440	73
257	441	71
258	442	69
259	443	68
260	444	66
261	444	64
262	445	62
263	447	61
264	448	59
265	449	57
266	450	55
267	451	53
268	452	52
269	453	50
270	454	48
271	455	46
272	456	45
273	457	43
274	458	41
275	459	39
276	460	38
277	461	36
278	462	34
279	463	33
280	464	31
281	465	29
282	466	28
283	467	26
284	468	24
285	469	22
286	470	21
287	471	19
288	472	17
289	473	16
290	474	14
291	475	13
292	476	11
293	477	9
294	478	8
295	480	6
296	480	4
297	481	3
298	482	1
299	483	0
