product_name,craft_cluster,retail_price_inr,source
Aipanart Decoration Sri Goljyu Mahraz Painting 1212,GI Tagged Dokra & Metalcraft,3500.0,IndiaHandmade (Govt of India)
Aipanart Decorations Sri Krishna Balgopal  1212,GI Tagged Dokra & Metalcraft,2500.0,IndiaHandmade (Govt of India)
Handcrafted Aipan Art Laxmi Aipan GMR2424,GI Tagged Dokra & Metalcraft,6000.0,IndiaHandmade (Govt of India)
Handcrafted Aipan Art Ganesh Aipan GMR2424,GI Tagged Dokra & Metalcraft,6000.0,IndiaHandmade (Govt of India)
Aipanart Decoration Janeu chowki GMR 1818,GI Tagged Dokra & Metalcraft,4500.0,IndiaHandmade (Govt of India)
Aipanart Decoration Janeu chowki GMR 1212,GI Tagged Dokra & Metalcraft,2000.0,IndiaHandmade (Govt of India)
Aipanart Decoration Surya Chowki / Namkaran Chowki GMR1212,GI Tagged Dokra & Metalcraft,2000.0,IndiaHandmade (Govt of India)
Aipanart Decorations Traditional Shubh - Ankit Aipan Collection CCGMR1818,GI Tagged Dokra & Metalcraft,7500.0,IndiaHandmade (Govt of India)
Aipanart Decorations Traditional Shubh - Ankit Aipan Collection 1818,GI Tagged Dokra & Metalcraft,6000.0,IndiaHandmade (Govt of India)
Handcrafted Aipan Art Baba Golju Maharaj Painting 1818,GI Tagged Dokra & Metalcraft,5500.0,IndiaHandmade (Govt of India)
Handcrafted Aipan Art  Baba Khatu Shyam Painting 1818,GI Tagged Dokra & Metalcraft,5500.0,IndiaHandmade (Govt of India)
Handcrafted Aipan Art Baba Neem Karori Painting 1818,GI Tagged Dokra & Metalcraft,5500.0,IndiaHandmade (Govt of India)
Handcrafted Aipan Art Baba Kedarnath Temple GMR1818,GI Tagged Dokra & Metalcraft,7000.0,IndiaHandmade (Govt of India)
Handcrafted Aipan Art Laxmi Aipan GMR 1818,GI Tagged Dokra & Metalcraft,5000.0,IndiaHandmade (Govt of India)
Handcrafted Aipan Art Ganesh Aipan GMR1818,GI Tagged Dokra & Metalcraft,5000.0,IndiaHandmade (Govt of India)
Handcrafted Aipan Art Laxmi Aipan GMR1212,GI Tagged Dokra & Metalcraft,2000.0,IndiaHandmade (Govt of India)
Handcrafted Aipan Art Ganesh Aipan GMR1212,GI Tagged Dokra & Metalcraft,2000.0,IndiaHandmade (Govt of India)
Handcrafted Aipan Art Laxmi Aipan GMR66,GI Tagged Dokra & Metalcraft,800.0,IndiaHandmade (Govt of India)
Handcrafted Aipan Art Ganesh Aipan GMR,GI Tagged Dokra & Metalcraft,800.0,IndiaHandmade (Govt of India)
Handcrafted Aipan Art Ganesh Pith 66,GI Tagged Dokra & Metalcraft,500.0,IndiaHandmade (Govt of India)
Handcrafted Aipan Art Laxmi Pith 1212,GI Tagged Dokra & Metalcraft,1500.0,IndiaHandmade (Govt of India)
Handcrafted Aipan Art Ganesh Pith 1212,GI Tagged Dokra & Metalcraft,1500.0,IndiaHandmade (Govt of India)
Handcrafted Aipan Art Laxmi Pith 1818,GI Tagged Dokra & Metalcraft,4000.0,IndiaHandmade (Govt of India)
Handcrafted Aipan Art Ganesh Pith Aipan,GI Tagged Dokra & Metalcraft,4000.0,IndiaHandmade (Govt of India)
Handcrafted Aipan Art  Baba Neem Karori Painting 1818,GI Tagged Dokra & Metalcraft,5500.0,IndiaHandmade (Govt of India)
Handcrafted Aipan Art Cushion Covers | Set of 5 | Blue,GI Tagged Dokra & Metalcraft,4500.0,IndiaHandmade (Govt of India)
Handcrafted Aipan Art Cushion Covers | Set of 5,GI Tagged Dokra & Metalcraft,4500.0,IndiaHandmade (Govt of India)
Handcrafted Aipan Art  Laxmi Ganesh Aipan,GI Tagged Dokra & Metalcraft,9000.0,IndiaHandmade (Govt of India)
Handcrafted Aipan Art Ganesh Painting  AGPB,GI Tagged Dokra & Metalcraft,10000.0,IndiaHandmade (Govt of India)
Handcrafted Aipan Art Ganesh Painting,GI Tagged Dokra & Metalcraft,10000.0,IndiaHandmade (Govt of India)
Hand-Embroidered Pure Pashmina Neem Jamavar Shawl with Fine Sozni Work | Red,GI Tagged Dokra & Metalcraft,43500.0,IndiaHandmade (Govt of India)
Dokra Root napkin ring - Home Decor - GI Certified Bengal Dokra,GI Tagged Dokra & Metalcraft,950.0,IndiaHandmade (Govt of India)
God 5-inch Dancing Ganesh With Tabla - GI Certified Bengal Dokra,GI Tagged Dokra & Metalcraft,1750.0,IndiaHandmade (Govt of India)
God 5-inch Dancing Ganesh With Esraj - GI Certified Bengal Dokra,GI Tagged Dokra & Metalcraft,1750.0,IndiaHandmade (Govt of India)
Brass Goddess & God Radha Krishna Idol |  5.5*4.5 *9 Inches | Golden,GI Tagged Dokra & Metalcraft,27500.0,IndiaHandmade (Govt of India)
5 Boat diya - big - Home Decor - GI Certified Bengal Dokra,GI Tagged Dokra & Metalcraft,17500.0,IndiaHandmade (Govt of India)
5 Boat diya - small - Home Decor - GI Certified Bengal Dokra,GI Tagged Dokra & Metalcraft,15500.0,IndiaHandmade (Govt of India)
Dipa Rani 2 Diya Pot on Head on Elephant - GI Certified Bengal Dokra,GI Tagged Dokra & Metalcraft,2550.0,IndiaHandmade (Govt of India)
Goddess KALI Idol 12 inch - GI Certified Bengal Dokra,GI Tagged Dokra & Metalcraft,9775.0,IndiaHandmade (Govt of India)
Goddess KALI Idol 9 inch - GI Certified Bengal Dokra,GI Tagged Dokra & Metalcraft,3750.0,IndiaHandmade (Govt of India)
