product_name,craft_cluster,retail_price_inr,source,matched_seasonal_cluster,matching_confidence,seasonal_monthly_curve
Aipanart Decoration Sri Goljyu Mahraz Painting 1212,GI Tagged Dokra & Metalcraft,3500.0,IndiaHandmade (Govt of India),Terracotta & Pottery,0.409,"{'1': 0.629, '2': 0.995, '3': 1.231, '4': 1.261, '5': 1.078, '6': 1.081, '7': 1.134, '8': 1.036, '9': 0.746, '10': 0.99, '11': 1.053, '12': 0.769}"
Aipanart Decorations Sri Krishna Balgopal  1212,GI Tagged Dokra & Metalcraft,2500.0,IndiaHandmade (Govt of India),Bamboo & Cane Craft,0.251,"{'1': 1.126, '2': 1.168, '3': 1.038, '4': 0.737, '5': 1.004, '6': 1.248, '7': 0.942, '8': 1.001, '9': 0.963, '10': 0.771, '11': 0.802, '12': 1.203}"
Handcrafted Aipan Art Laxmi Aipan GMR2424,GI Tagged Dokra & Metalcraft,6000.0,IndiaHandmade (Govt of India),Bamboo & Cane Craft,0.334,"{'1': 1.126, '2': 1.168, '3': 1.038, '4': 0.737, '5': 1.004, '6': 1.248, '7': 0.942, '8': 1.001, '9': 0.963, '10': 0.771, '11': 0.802, '12': 1.203}"
Handcrafted Aipan Art Ganesh Aipan GMR2424,GI Tagged Dokra & Metalcraft,6000.0,IndiaHandmade (Govt of India),Bamboo & Cane Craft,0.336,"{'1': 1.126, '2': 1.168, '3': 1.038, '4': 0.737, '5': 1.004, '6': 1.248, '7': 0.942, '8': 1.001, '9': 0.963, '10': 0.771, '11': 0.802, '12': 1.203}"
Aipanart Decoration Janeu chowki GMR 1818,GI Tagged Dokra & Metalcraft,4500.0,IndiaHandmade (Govt of India),Terracotta & Pottery,0.365,"{'1': 0.629, '2': 0.995, '3': 1.231, '4': 1.261, '5': 1.078, '6': 1.081, '7': 1.134, '8': 1.036, '9': 0.746, '10': 0.99, '11': 1.053, '12': 0.769}"
Aipanart Decoration Janeu chowki GMR 1212,GI Tagged Dokra & Metalcraft,2000.0,IndiaHandmade (Govt of India),Terracotta & Pottery,0.324,"{'1': 0.629, '2': 0.995, '3': 1.231, '4': 1.261, '5': 1.078, '6': 1.081, '7': 1.134, '8': 1.036, '9': 0.746, '10': 0.99, '11': 1.053, '12': 0.769}"
Aipanart Decoration Surya Chowki / Namkaran Chowki GMR1212,GI Tagged Dokra & Metalcraft,2000.0,IndiaHandmade (Govt of India),Bamboo & Cane Craft,0.276,"{'1': 1.126, '2': 1.168, '3': 1.038, '4': 0.737, '5': 1.004, '6': 1.248, '7': 0.942, '8': 1.001, '9': 0.963, '10': 0.771, '11': 0.802, '12': 1.203}"
Aipanart Decorations Traditional Shubh - Ankit Aipan Collection CCGMR1818,GI Tagged Dokra & Metalcraft,7500.0,IndiaHandmade (Govt of India),Bamboo & Cane Craft,0.31,"{'1': 1.126, '2': 1.168, '3': 1.038, '4': 0.737, '5': 1.004, '6': 1.248, '7': 0.942, '8': 1.001, '9': 0.963, '10': 0.771, '11': 0.802, '12': 1.203}"
Aipanart Decorations Traditional Shubh - Ankit Aipan Collection 1818,GI Tagged Dokra & Metalcraft,6000.0,IndiaHandmade (Govt of India),Terracotta & Pottery,0.341,"{'1': 0.629, '2': 0.995, '3': 1.231, '4': 1.261, '5': 1.078, '6': 1.081, '7': 1.134, '8': 1.036, '9': 0.746, '10': 0.99, '11': 1.053, '12': 0.769}"
Handcrafted Aipan Art Baba Golju Maharaj Painting 1818,GI Tagged Dokra & Metalcraft,5500.0,IndiaHandmade (Govt of India),Terracotta & Pottery,0.413,"{'1': 0.629, '2': 0.995, '3': 1.231, '4': 1.261, '5': 1.078, '6': 1.081, '7': 1.134, '8': 1.036, '9': 0.746, '10': 0.99, '11': 1.053, '12': 0.769}"
