iter	RMSE
0	41.65433444
1	40.36869857
2	39.20510355
3	38.05235958
4	37.10874018
5	36.01627175
6	35.08540781
7	34.20697253
8	33.37409973
9	32.45447602
10	31.62458991
11	30.76902123
12	29.97396714
13	29.17464462
14	28.46906802
15	27.61145298
16	26.82993985
17	26.20075829
18	25.48104652
19	24.72848108
20	24.16852345
21	23.46328528
22	22.94591069
23	22.30391161
24	21.75745397
25	21.22415596
26	20.67188261
27	20.18840942
28	19.70408074
29	19.27996137
30	18.87345443
31	18.39794096
32	17.9611831
33	17.50060217
34	17.1509054
35	16.83717784
36	16.47612045
37	16.0825512
38	15.73551601
39	15.34135463
40	14.96568441
41	14.65634847
42	14.36371176
43	14.03000822
44	13.7088777
45	13.45680057
46	13.16482332
47	12.92945129
48	12.6915845
49	12.43074855
50	12.17677412
51	11.9624938
52	11.70998839
53	11.49761012
54	11.27905394
55	11.07856687
56	10.88906846
57	10.68738034
58	10.53118777
59	10.39056678
60	10.19783753
61	10.0340962
62	9.871974367
63	9.70826349
64	9.558561504
65	9.396979743
66	9.251922332
67	9.116618405
68	8.98495635
69	8.833986831
70	8.709333166
71	8.583448819
72	8.467002255
73	8.352133816
74	8.241995439
75	8.111012266
76	7.987916365
77	7.868734066
78	7.744933923
79	7.635460177
80	7.515076139
81	7.399897756
82	7.307316884
83	7.196466298
84	7.104330827
85	7.023502455
86	6.933813096
87	6.846934278
88	6.742962668
89	6.647663842
90	6.553948965
91	6.481728894
92	6.391555724
93	6.306132007
94	6.221623746
95	6.154487591
96	6.075477209
97	6.009183479
98	5.931789551
99	5.858312591
100	5.784422949
101	5.716842138
102	5.646845934
103	5.571628089
104	5.505433079
105	5.443281117
106	5.384863781
107	5.323330812
108	5.261786175
109	5.202010046
110	5.145504013
111	5.090203841
112	5.036654369
113	4.982772798
114	4.946329846
115	4.896414567
116	4.848404993
117	4.800297889
118	4.76694194
119	4.730667159
120	4.684115609
121	4.639257292
122	4.595362298
123	4.559027309
124	4.520639135
125	4.480195171
126	4.446220101
127	4.406543558
128	4.378798034
129	4.351736919
130	4.318521506
131	4.281048293
132	4.244818429
133	4.209794804
134	4.170873924
135	4.149005706
136	4.125262764
137	4.092604673
138	4.060980997
139	4.030416108
140	4.004713527
141	3.98300349
142	3.961825043
143	3.941022234
144	3.91602502
145	3.897223419
146	3.878874886
147	3.852293239
148	3.829999613
149	3.804534604
150	3.785845226
151	3.763641922
152	3.73948009
153	3.721751403
154	3.700726843
155	3.677185347
156	3.660408839
157	3.64060298
158	3.618638014
159	3.602696823
160	3.584202188
161	3.562960025
162	3.542460965
163	3.527103627
164	3.512024902
165	3.492074012
166	3.468939467
167	3.449054465
168	3.43335649
169	3.41184717
170	3.396635698
171	3.375874826
172	3.355775651
173	3.342356381
174	3.327860304
175	3.3085276
176	3.29036683
177	3.270476283
178	3.257361474
179	3.244737887
180	3.226971632
181	3.214678828
182	3.202691092
183	3.191214485
184	3.177859178
185	3.166700397
186	3.14947985
187	3.136446528
188	3.119688767
189	3.106932075
190	3.096129306
191	3.079820365
192	3.067362068
193	3.05639796
194	3.040507647
195	3.025095762
196	3.013164816
197	3.000608223
198	2.985968489
199	2.97178355
200	2.96059907
201	2.948542813
202	2.935048627
203	2.921966324
204	2.911471789
205	2.899865433
206	2.886718221
207	2.874223927
208	2.864154256
209	2.849808301
210	2.837794579
211	2.82370898
212	2.808730508
213	2.796963312
214	2.782274344
215	2.767915233
216	2.753879216
217	2.740159657
218	2.728684388
219	2.716811713
220	2.705203431
221	2.691860495
222	2.680545761
223	2.671417456
224	2.659918482
225	2.651058008
226	2.639854343
227	2.628704878
228	2.62005807
229	2.609108938
230	2.598197878
231	2.589758854
232	2.579057596
233	2.570865078
234	2.560438115
235	2.549007842
236	2.538255058
237	2.527992491
238	2.517506201
239	2.509489777
240	2.499457775
241	2.491674652
242	2.481899349
243	2.471553474
244	2.463954831
245	2.454398578
246	2.444263261
247	2.436844641
248	2.427502052
249	2.420299041
250	2.407739718
251	2.39859095
252	2.386335507
253	2.377354659
254	2.370311681
255	2.361560501
256	2.349521363
257	2.340930732
258	2.334078575
259	2.325708188
260	2.313881231
261	2.305664434
262	2.294119746
263	2.28741912
264	2.279372916
265	2.268069481
266	2.260171098
267	2.253651659
268	2.245956582
269	2.234849856
270	2.227296405
271	2.216452283
272	2.209038045
273	2.202681273
274	2.191412696
275	2.181081849
276	2.174793759
277	2.164694812
278	2.158533597
279	2.151313056
280	2.145330313
281	2.138294902
282	2.12832775
283	2.122481774
284	2.115598549
285	2.105825554
286	2.100112974
287	2.09337822
288	2.083794726
289	2.078212346
290	2.07162251
291	2.066200648
292	2.054976097
293	2.045539081
294	2.040174356
295	2.030944778
296	2.025688266
297	2.019262533
298	2.010209132
299	2.005072914
300	1.998783807
301	1.989902867
302	1.984884205
303	1.978728647
304	1.970016634
305	1.965112886
306	1.959029792
307	1.952985835
308	1.941828911
309	1.933332462
310	1.92854197
311	1.920230507
312	1.915538229
313	1.910969389
314	1.905071085
315	1.896889583
316	1.892426594
317	1.886652477
318	1.875615791
319	1.867575765
320	1.863171955
321	1.855306342
322	1.850993522
323	1.843298681
324	1.83907531
325	1.833414053
326	1.825863487
327	1.821739103
328	1.816196252
329	1.808787408
330	1.804759766
331	1.799332854
332	1.788351813
333	1.781065601
334	1.777091484
335	1.769962762
336	1.766072047
337	1.759097636
338	1.755288886
339	1.749965728
340	1.743121457
341	1.739403086
342	1.734190797
343	1.727474511
344	1.72384444
345	1.718740768
346	1.707806822
347	1.701197774
348	1.697615905
349	1.691149682
350	1.687644117
351	1.682647023
352	1.676301309
353	1.672879659
354	1.667986545
355	1.663348857
356	1.652563752
357	1.647737149
358	1.637205198
359	1.632457672
360	1.622172177
361	1.617502678
362	1.607457231
363	1.602864774
364	1.593053243
365	1.588536894
366	1.585209026
367	1.579229104
368	1.574911279
369	1.571679739
370	1.565971299
371	1.561844234
372	1.558705967
373	1.553257916
374	1.549314084
375	1.544583009
376	1.539365477
377	1.535660224
378	1.53265642
379	1.526247754
380	1.523306513
381	1.519597832
382	1.513312981
383	1.51044038
384	1.506810496
385	1.500647136
386	1.49784146
387	1.492998024
388	1.489587939
389	1.486862757
390	1.480801462
391	1.47813314
392	1.474723151
393	1.468779595
394	1.466173443
395	1.461614174
396	1.458343593
397	1.454101973
398	1.449955603
399	1.445577119
400	1.442501799
401	1.44004031
402	1.435864938
403	1.433468294
404	1.430461108
405	1.424667343
406	1.422326945
407	1.419384872
408	1.413705533
409	1.411419998
410	1.407492182
411	1.404734099
412	1.40251404
413	1.396933031
414	1.394759573
415	1.39199885
416	1.386528723
417	1.3827643
418	1.379056211
419	1.376962235
420	1.374309085
421	1.368989487
422	1.36694498
423	1.363408166
424	1.360924725
425	1.358938749
426	1.353713251
