iter	Passed	Remaining
0	142	70898
1	142	35476
2	143	23761
3	143	17837
4	144	14285
5	144	11914
6	145	10219
7	145	8948
8	145	7961
9	146	7170
10	146	6519
11	147	5982
12	147	5532
13	147	5136
14	148	4797
15	148	4497
16	149	4235
17	149	4000
18	149	3794
19	150	3609
20	150	3437
21	150	3278
22	151	3135
23	151	3004
24	151	2880
25	151	2770
26	152	2674
27	153	2581
28	153	2492
29	153	2409
30	154	2333
31	154	2259
32	154	2191
33	155	2126
34	155	2067
35	156	2011
36	156	1957
37	156	1905
38	157	1856
39	157	1808
40	157	1764
41	157	1722
42	158	1682
43	158	1642
44	158	1604
45	158	1568
46	159	1535
47	159	1502
48	160	1473
49	160	1444
50	160	1417
51	161	1390
52	161	1363
53	162	1338
54	162	1315
55	162	1292
56	163	1269
57	163	1246
58	163	1225
59	164	1204
60	164	1183
61	164	1164
62	165	1145
63	165	1126
64	165	1109
65	166	1092
66	166	1075
67	166	1059
68	167	1044
69	167	1029
70	167	1014
71	168	1000
72	168	987
73	169	973
74	169	960
75	169	946
76	170	934
77	170	922
78	170	910
79	171	898
80	171	887
81	171	876
82	172	865
83	172	854
84	172	843
85	173	834
86	173	824
87	174	815
88	174	806
89	174	796
90	175	787
91	175	778
92	175	769
93	176	761
94	176	752
95	176	744
96	177	737
97	177	729
98	178	722
99	178	714
100	179	707
101	179	700
102	179	693
103	180	685
104	180	679
105	180	672
106	181	665
107	181	659
108	182	653
109	182	646
110	182	640
111	183	634
112	183	628
113	183	622
114	184	616
115	184	611
116	185	606
117	185	600
118	185	594
119	186	589
120	186	584
121	186	579
122	187	573
123	187	568
124	187	563
125	188	559
126	188	554
127	189	549
128	189	545
129	189	540
130	190	536
131	190	531
132	191	527
133	191	523
134	192	519
135	192	515
136	193	511
137	193	507
138	194	503
139	194	499
140	194	495
141	195	492
142	195	488
143	195	484
144	196	480
145	196	476
146	196	472
147	197	469
148	198	466
149	198	463
150	198	459
151	199	456
152	199	452
153	199	449
154	200	445
155	200	442
156	201	439
157	201	435
158	201	432
159	202	429
160	202	426
161	202	423
162	203	420
163	203	417
164	204	414
165	204	411
166	204	408
167	205	405
168	205	402
169	205	399
170	205	396
171	206	393
172	206	390
173	207	387
174	207	385
175	207	382
176	208	380
177	208	377
178	209	374
179	209	372
180	210	370
181	210	367
182	210	365
183	211	362
184	211	360
185	212	358
186	212	355
187	212	353
188	213	350
189	213	348
190	213	346
191	214	343
192	214	341
193	215	339
194	215	337
195	216	335
196	216	333
197	217	331
198	217	329
199	218	327
200	218	325
201	218	323
202	219	320
203	219	318
204	220	316
205	220	314
206	221	312
207	221	311
208	222	309
209	222	307
210	222	305
211	223	303
212	223	301
213	224	299
214	224	297
215	225	295
216	225	293
217	225	292
218	226	290
219	226	288
220	227	286
221	227	285
222	228	283
223	228	281
224	229	279
225	229	278
226	229	276
227	230	274
228	230	273
229	231	271
230	231	269
231	231	267
232	232	265
233	232	264
234	232	262
235	233	260
236	233	259
237	233	257
238	234	255
239	234	253
240	234	252
